bgrp,Day_Count,Day_Low,K12_Count,K12_Low
420031405001,1.0,1.0,0.0,-99999.0
420031405002,0.0,-99999.0,0.0,-99999.0
420031405003,0.0,-99999.0,0.0,-99999.0
420031406001,1.0,0.0,3.0,0.0
420031406002,0.0,-99999.0,0.0,-99999.0
420031406003,0.0,-99999.0,0.0,-99999.0
420031408001,0.0,-99999.0,2.0,0.0
420031408002,1.0,0.0,0.0,-99999.0
420031408003,0.0,-99999.0,0.0,-99999.0
420031410001,0.0,-99999.0,0.0,-99999.0
420031411001,0.0,-99999.0,0.0,-99999.0
420031413001,2.0,1.0,2.0,0.0
420031413002,0.0,-99999.0,2.0,2.0
420031413003,0.0,-99999.0,0.0,-99999.0
420031414001,0.0,-99999.0,0.0,-99999.0
420031414002,1.0,0.0,1.0,0.0
420031414003,0.0,-99999.0,0.0,-99999.0
420031414004,0.0,-99999.0,0.0,-99999.0
420031414005,1.0,1.0,0.0,-99999.0
420031516001,0.0,-99999.0,0.0,-99999.0
420031516002,0.0,-99999.0,2.0,0.0
420031516003,0.0,-99999.0,0.0,-99999.0
420031517001,1.0,0.0,0.0,-99999.0
420031517002,0.0,-99999.0,0.0,-99999.0
420031517003,0.0,-99999.0,0.0,-99999.0
420031517004,0.0,-99999.0,0.0,-99999.0
420031517005,0.0,-99999.0,0.0,-99999.0
420031517006,0.0,-99999.0,0.0,-99999.0
420031608001,0.0,-99999.0,0.0,-99999.0
420031608002,0.0,-99999.0,0.0,-99999.0
420031608003,0.0,-99999.0,0.0,-99999.0
420031608004,0.0,-99999.0,0.0,-99999.0
420031609001,1.0,1.0,0.0,-99999.0
420031609002,0.0,-99999.0,0.0,-99999.0
420031702001,0.0,-99999.0,0.0,-99999.0
420031702002,1.0,1.0,0.0,-99999.0
420031702003,0.0,-99999.0,0.0,-99999.0
420031702004,1.0,1.0,1.0,1.0
420031706001,0.0,-99999.0,0.0,-99999.0
420031706002,0.0,-99999.0,0.0,-99999.0
420031706003,0.0,-99999.0,0.0,-99999.0
420031803001,1.0,1.0,1.0,0.0
420031803002,0.0,-99999.0,0.0,-99999.0
420031803003,0.0,-99999.0,0.0,-99999.0
420031807001,0.0,-99999.0,0.0,-99999.0
420031807002,0.0,-99999.0,0.0,-99999.0
420031807003,0.0,-99999.0,0.0,-99999.0
420031903001,1.0,0.0,2.0,0.0
420031903002,0.0,-99999.0,0.0,-99999.0
420031911001,0.0,-99999.0,0.0,-99999.0
420031911002,0.0,-99999.0,2.0,0.0
420031914001,0.0,-99999.0,0.0,-99999.0
420031914002,1.0,0.0,2.0,1.0
420031915001,0.0,-99999.0,0.0,-99999.0
420031915002,0.0,-99999.0,0.0,-99999.0
420031916001,1.0,0.0,3.0,1.0
420031916002,1.0,0.0,1.0,0.0
420031916003,0.0,-99999.0,0.0,-99999.0
420031916004,0.0,-99999.0,0.0,-99999.0
420031916005,0.0,-99999.0,0.0,-99999.0
420031917001,0.0,-99999.0,3.0,0.0
420031917002,0.0,-99999.0,0.0,-99999.0
420031917003,1.0,0.0,0.0,-99999.0
420031918001,0.0,-99999.0,0.0,-99999.0
420031918002,0.0,-99999.0,0.0,-99999.0
420031918003,1.0,0.0,0.0,-99999.0
420031918004,1.0,0.0,2.0,0.0
420031918005,1.0,0.0,0.0,-99999.0
420031918006,0.0,-99999.0,0.0,-99999.0
420031918007,0.0,-99999.0,0.0,-99999.0
420031919001,0.0,-99999.0,0.0,-99999.0
420031919002,1.0,1.0,0.0,-99999.0
420031919003,0.0,-99999.0,1.0,0.0
420031920001,0.0,-99999.0,0.0,-99999.0
420031920002,0.0,-99999.0,0.0,-99999.0
420031920003,0.0,-99999.0,0.0,-99999.0
420031920004,0.0,-99999.0,0.0,-99999.0
420031920005,0.0,-99999.0,0.0,-99999.0
420032022001,0.0,-99999.0,0.0,-99999.0
420032022002,0.0,-99999.0,1.0,0.0
420032022003,0.0,-99999.0,0.0,-99999.0
420032023001,0.0,-99999.0,0.0,-99999.0
420032023002,0.0,-99999.0,0.0,-99999.0
420032023003,2.0,0.0,2.0,0.0
420032023004,0.0,-99999.0,0.0,-99999.0
420032107001,0.0,-99999.0,1.0,0.0
420032107002,1.0,0.0,4.0,0.0
420032206001,1.0,0.0,0.0,-99999.0
420032206002,1.0,0.0,0.0,-99999.0
420032406001,0.0,-99999.0,0.0,-99999.0
420032406002,0.0,-99999.0,1.0,0.0
420032412001,0.0,-99999.0,0.0,-99999.0
420032412002,0.0,-99999.0,0.0,-99999.0
420032503001,0.0,-99999.0,0.0,-99999.0
420032507001,0.0,-99999.0,0.0,-99999.0
420032509001,0.0,-99999.0,0.0,-99999.0
420032509002,0.0,-99999.0,0.0,-99999.0
420032602001,2.0,0.0,1.0,0.0
420032602002,1.0,0.0,1.0,0.0
420032602003,0.0,-99999.0,0.0,-99999.0
420032607001,0.0,-99999.0,0.0,-99999.0
420032607002,0.0,-99999.0,0.0,-99999.0
420032609001,0.0,-99999.0,1.0,0.0
420032612001,0.0,-99999.0,0.0,-99999.0
420032614001,0.0,-99999.0,0.0,-99999.0
420032614002,0.0,-99999.0,2.0,0.0
420032614003,0.0,-99999.0,0.0,-99999.0
420032614004,1.0,0.0,0.0,-99999.0
420032615001,3.0,0.0,1.0,0.0
420032615002,1.0,0.0,1.0,0.0
420032620001,0.0,-99999.0,1.0,0.0
420032620002,0.0,-99999.0,0.0,-99999.0
420032620003,0.0,-99999.0,0.0,-99999.0
420032701001,0.0,-99999.0,1.0,0.0
420032701002,2.0,0.0,0.0,-99999.0
420032703001,1.0,0.0,2.0,0.0
420032703002,0.0,-99999.0,0.0,-99999.0
420032704001,0.0,-99999.0,1.0,0.0
420032708001,0.0,-99999.0,0.0,-99999.0
420032708002,0.0,-99999.0,0.0,-99999.0
420032708003,0.0,-99999.0,0.0,-99999.0
420032715001,0.0,-99999.0,0.0,-99999.0
420032715002,4.0,0.0,0.0,-99999.0
420032715003,0.0,-99999.0,1.0,0.0
420032814001,0.0,-99999.0,0.0,-99999.0
420032814002,0.0,-99999.0,2.0,0.0
420032815001,0.0,-99999.0,2.0,0.0
420032815002,0.0,-99999.0,0.0,-99999.0
420032901001,0.0,-99999.0,0.0,-99999.0
420032901002,0.0,-99999.0,0.0,-99999.0
420032901003,1.0,0.0,0.0,-99999.0
420032902001,0.0,-99999.0,0.0,-99999.0
420032902002,0.0,-99999.0,1.0,0.0
420032902003,0.0,-99999.0,0.0,-99999.0
420032902004,1.0,0.0,1.0,0.0
420032902005,0.0,-99999.0,0.0,-99999.0
420032904001,0.0,-99999.0,1.0,0.0
420032904002,1.0,0.0,0.0,-99999.0
420032904003,0.0,-99999.0,0.0,-99999.0
420032904004,0.0,-99999.0,0.0,-99999.0
420032904005,0.0,-99999.0,0.0,-99999.0
420033001001,1.0,0.0,0.0,-99999.0
420033001002,0.0,-99999.0,2.0,0.0
420033001003,1.0,0.0,0.0,-99999.0
420033001004,0.0,-99999.0,0.0,-99999.0
420033001005,0.0,-99999.0,0.0,-99999.0
420033001006,0.0,-99999.0,0.0,-99999.0
420033102001,0.0,-99999.0,0.0,-99999.0
420033102002,0.0,-99999.0,0.0,-99999.0
420033102003,1.0,0.0,0.0,-99999.0
420033102004,0.0,-99999.0,2.0,0.0
420033102005,0.0,-99999.0,0.0,-99999.0
420033103001,0.0,-99999.0,0.0,-99999.0
420033204001,0.0,-99999.0,0.0,-99999.0
420033204002,0.0,-99999.0,0.0,-99999.0
420033204003,0.0,-99999.0,0.0,-99999.0
420033206001,0.0,-99999.0,0.0,-99999.0
420033206002,0.0,-99999.0,0.0,-99999.0
420033207001,0.0,-99999.0,1.0,0.0
420033207002,0.0,-99999.0,0.0,-99999.0
420034011001,2.0,0.0,0.0,-99999.0
420034011002,0.0,-99999.0,0.0,-99999.0
420034011003,0.0,-99999.0,0.0,-99999.0
420034011004,0.0,-99999.0,0.0,-99999.0
420034012001,0.0,-99999.0,0.0,-99999.0
420034012002,0.0,-99999.0,3.0,0.0
420034012003,0.0,-99999.0,0.0,-99999.0
420034012004,0.0,-99999.0,1.0,0.0
420034013001,0.0,-99999.0,0.0,-99999.0
420034013002,0.0,-99999.0,0.0,-99999.0
420034013003,2.0,0.0,1.0,0.0
420034020001,0.0,-99999.0,1.0,0.0
420034020002,0.0,-99999.0,0.0,-99999.0
420034020003,0.0,-99999.0,0.0,-99999.0
420034020004,0.0,-99999.0,0.0,-99999.0
420034035001,0.0,-99999.0,0.0,-99999.0
420034035002,0.0,-99999.0,0.0,-99999.0
420034035003,1.0,1.0,1.0,1.0
420034035004,2.0,2.0,0.0,-99999.0
420034035005,0.0,-99999.0,0.0,-99999.0
420034040001,1.0,0.0,0.0,-99999.0
420034050002,0.0,-99999.0,0.0,-99999.0
420034070012,1.0,0.0,1.0,0.0
420034070013,1.0,0.0,1.0,0.0
420034070014,0.0,-99999.0,0.0,-99999.0
420034070021,0.0,-99999.0,0.0,-99999.0
420034070022,2.0,0.0,3.0,1.0
420034070023,0.0,-99999.0,0.0,-99999.0
420034070024,0.0,-99999.0,0.0,-99999.0
420034080011,0.0,-99999.0,0.0,-99999.0
420034080012,1.0,0.0,1.0,0.0
420034080013,1.0,0.0,0.0,-99999.0
420034080021,0.0,-99999.0,0.0,-99999.0
420034080022,1.0,0.0,1.0,0.0
420034090001,1.0,0.0,2.0,1.0
420034090002,1.0,0.0,0.0,-99999.0
420034090003,1.0,0.0,1.0,0.0
420034090004,2.0,0.0,2.0,0.0
420034100001,0.0,-99999.0,1.0,0.0
420034110001,3.0,1.0,2.0,0.0
420034110002,1.0,0.0,1.0,0.0
420034110003,0.0,-99999.0,0.0,-99999.0
420034120011,0.0,-99999.0,1.0,0.0
420034120012,1.0,0.0,2.0,0.0
420034120013,0.0,-99999.0,0.0,-99999.0
420034120014,0.0,-99999.0,1.0,0.0
420034120021,2.0,0.0,1.0,0.0
420034120022,1.0,0.0,0.0,-99999.0
420034131001,0.0,-99999.0,0.0,-99999.0
420034131002,0.0,-99999.0,0.0,-99999.0
420034131003,0.0,-99999.0,0.0,-99999.0
420034131004,1.0,0.0,1.0,1.0
420034132011,1.0,0.0,0.0,-99999.0
420034132012,0.0,-99999.0,0.0,-99999.0
420034132013,1.0,1.0,0.0,-99999.0
420034132021,0.0,-99999.0,1.0,0.0
420034132022,0.0,-99999.0,0.0,-99999.0
420034133001,1.0,0.0,3.0,0.0
420034133002,2.0,0.0,0.0,-99999.0
420034133003,0.0,-99999.0,0.0,-99999.0
420034134001,0.0,-99999.0,0.0,-99999.0
420034134002,1.0,0.0,1.0,0.0
