bgrp,WVT_Pop,WVT_Pct
420032902004,0,0.0
420032902005,0,0.0
420032904001,0,0.0
420032904002,1,0.0799999982119
420032904003,0,0.0
420032904004,0,0.0
420032904005,0,0.0
420033001001,0,0.0
420033001002,0,0.0
420033001003,0,0.0
420033001004,0,0.0
420033001005,0,0.0
420033001006,0,0.0
420033102001,0,0.0
420033102002,0,0.0
420033102003,0,0.0
420033102004,0,0.0
420033102005,0,0.0
420033103001,29,2.94000005722
420033204001,0,0.0
420033204002,0,0.0
420033204003,0,0.0
420033206001,0,0.0
420033206002,0,0.0
420033207001,0,0.0
420033207002,0,0.0
420034011001,112,7.86000013351
420034011002,6,0.5
420034011003,14,1.67999994755
420034011004,0,0.0
420034012001,36,6.46000003815
420034012002,61,5.55999994278
420034012003,10,1.14999997616
420034012004,0,0.0
420034013001,9,0.689999997616
420034013002,0,0.0
420034013003,0,0.0
420034020001,0,0.0
420034020002,0,0.0
420034020003,0,0.0
420034020004,28,3.13000011444
420034035001,30,3.3599998951
420034035002,1,0.129999995232
420034035003,10,0.829999983311
420034035004,85,9.23999977112
420034035005,66,8.85999965668
420034040001,7,0.469999998808
420034050002,30,6.34000015259
420034070012,78,6.05000019073
420034070013,73,4.38000011444
420034070014,226,14.8800001144
420034070021,61,4.40000009537
420034070022,13,0.819999992847
420034070023,33,3.97000002861
420034070024,44,1.57000005245
420034080011,105,8.85000038147
420034080012,69,3.25
420034080013,76,5.21000003815
420034080021,302,7.92000007629
420034080022,127,5.03999996185
420034090001,119,3.18000006676
420034090002,14,0.629999995232
420034090003,285,8.85000038147
420034090004,166,7.23000001907
420034100001,0,0.0
420034110001,57,5.21999979019
420034110002,121,4.61000013351
420034110003,59,1.84000003338
420034120011,21,0.790000021458
420034120012,27,1.5
420034120013,17,1.0
420034120014,0,0.0
420034120021,2,0.070000000298
420034120022,15,0.769999980927
420034131001,0,0.0
420034131002,1,0.0500000007451
420034131003,31,2.17000007629
420034131004,67,3.52999997139
420034132011,0,0.0
420034132012,0,0.0
420034132013,27,1.64999997616
420034132021,14,1.27999997139
420034132022,0,0.0
420034133001,57,3.3900001049
420034133002,14,0.589999973774
420034133003,0,0.0
420034134001,0,0.0
420034134002,13,1.08000004292
420034134003,0,0.0
420034135001,0,0.0
420034135002,54,2.54999995232
420034135003,16,1.15999996662
420034135004,6,0.330000013113
420034141011,15,0.699999988079
420034141012,104,8.59000015259
420034141013,92,11.1499996185
420034141014,8,0.670000016689
420034141021,22,0.829999983311
420034141022,3,0.119999997318
420034141023,43,2.25999999046
420034142001,44,1.37000000477
420034142002,0,0.0
420034142003,2,0.109999999404
420034150011,0,0.0
420034150012,15,1.0
420034150013,115,5.51000022888
420034150021,11,0.75
420034150022,29,2.69000005722
420034160001,12,1.35000002384
420034160002,1,0.129999995232
420034171001,2,0.239999994636
420034171002,0,0.0
420034171003,0,0.0
420034172001,24,1.89999997616
420034180001,13,0.740000009537
420034190001,46,4.15999984741
420034190002,16,2.19000005722
420034190003,9,0.829999983311
420034200001,18,1.25999999046
420034211001,9,0.839999973774
420034211002,1,0.119999997318
420034211003,14,0.910000026226
420034211004,23,3.56999993324
420034212001,8,0.409999996424
420034212002,0,0.0
420034212003,0,0.0
420034212004,0,0.0
420034220001,0,0.0
420034220002,1,0.129999995232
420034220003,0,0.0
420034220004,1,0.0500000007451
420034230001,4,0.419999986887
420034230002,0,0.0
420034230003,0,0.0
420034240001,0,0.0
420034240002,0,0.0
420034240003,16,2.1400001049
420034240004,0,0.0
420034250001,9,1.62999999523
420034250002,0,0.0
420034250003,10,0.910000026226
420034250004,28,3.38000011444
420034263001,31,1.96000003815
420034263002,33,1.58000004292
420034263003,0,0.0
420034264001,44,4.80999994278
420034264002,0,0.0
420034264003,0,0.0
420034264004,0,0.0
420034267001,0,0.0
420034267002,1,0.0599999986589
420034268001,0,0.0
420034268002,0,0.0
420034268003,0,0.0
420034270001,0,0.0
420034270002,29,3.46000003815
420034270003,51,3.49000000954
420034271001,1,0.0599999986589
420034271002,0,0.0
420034271003,11,0.550000011921
420034272001,0,0.0
420034272002,10,0.839999973774
420034272003,28,2.20000004768
420034272004,0,0.0
420034281001,0,0.0
420034281002,0,0.0
420034282001,6,0.939999997616
420034282002,1,0.070000000298
420034291001,1,0.0900000035763
420034291002,17,1.23000001907
420034292011,69,3.65000009537
420034292012,113,4.67000007629
420034292021,0,0.0
420034292022,1,0.070000000298
420034292023,4,0.219999998808
420034293001,0,0.0
420034293002,0,0.0
420034293003,0,0.0
420034293004,1,0.109999999404
420034294001,2,0.340000003576
420034294002,0,0.0
420034294003,9,0.709999978542
420034294004,0,0.0
420034295001,63,3.38000011444
420034295002,160,9.46000003815
420034295003,54,8.26000022888
420034296001,0,0.0
420034296002,0,0.0
420034297001,28,1.88999998569
420034297002,0,0.0
420034301001,0,0.0
420034301002,4,0.289999991655
420034302001,0,0.0
420034302002,45,3.55999994278
420034302003,0,0.0
420034302004,0,0.0
420034302005,0,0.0
420034311001,0,0.0
420034311002,0,0.0
420034314001,0,0.0
420034315001,11,1.71000003815
420034315002,1,0.119999997318
420034315003,3,0.340000003576
420034315004,0,0.0
420034323001,0,0.0
420034323002,0,0.0
420034324001,0,0.0
420034324002,0,0.0
420034324003,1,0.129999995232
420034340001,0,0.0
420034340002,0,0.0
420034350001,0,0.0
420034350002,0,0.0
420034370001,387,15.1899995804
420034370002,33,1.49000000954
420034390001,12,0.860000014305
420034455001,0,0.0
