bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
420031403002,386,620,38.3699989319,61.6300010681
420031403003,366,546,40.1300010681,59.8699989319
420031403004,699,33,95.4899978638,4.51000022888
420031404001,626,81,88.5400009155,11.4600000381
420031404002,509,135,79.0400009155,20.9599990845
420031404003,817,138,85.5500030518,14.4499998093
420031405001,682,129,84.0899963379,15.9099998474
420031405002,521,0,100.0,0.0
420031405003,722,0,100.0,0.0
420031406001,1212,49,96.1100006104,3.8900001049
420031406002,631,139,81.9499969482,18.0499992371
420031406003,969,0,100.0,0.0
420031408001,1649,280,85.4800033569,14.5200004578
420031408002,884,897,49.6399993896,50.3600006104
420031408003,844,0,100.0,0.0
420031410001,914,14,98.4899978638,1.50999999046
420031411001,912,449,67.0100021362,32.9900016785
420031413001,870,646,57.3899993896,42.6100006104
420031413002,1422,145,90.75,9.25
420031413003,1720,374,82.1399993896,17.8600006104
420031414001,601,401,59.9799995422,40.0200004578
420031414002,454,229,66.4700012207,33.5299987793
420031414003,947,34,96.5299987793,3.47000002861
420031414004,201,1499,11.8199996948,88.1800003052
420031414005,525,441,54.3499984741,45.6500015259
420031516001,964,176,84.5599975586,15.4399995804
420031516002,609,100,85.9000015259,14.1000003815
420031516003,483,31,93.9700012207,6.03000020981
420031517001,549,383,58.9099998474,41.0900001526
420031517002,486,149,76.5400009155,23.4599990845
420031517003,572,171,76.9899978638,23.0100002289
420031517004,306,312,49.5099983215,50.4900016785
420031517005,771,134,85.1900024414,14.8100004196
420031517006,677,421,61.6599998474,38.3400001526
420031608001,476,0,100.0,0.0
420031608002,446,173,72.0500030518,27.9500007629
420031608003,702,0,100.0,0.0
420031608004,731,3,99.5899963379,0.409999996424
420031609001,646,313,67.3600006104,32.6399993896
420031609002,1479,434,77.3099975586,22.6900005341
420031702001,582,47,92.5299987793,7.46999979019
420031702002,797,11,98.6399993896,1.36000001431
420031702003,1239,0,100.0,0.0
420031702004,1049,0,100.0,0.0
420031706001,321,5,98.4700012207,1.52999997139
420031706002,688,0,100.0,0.0
420031706003,484,135,78.1900024414,21.8099994659
420031803001,1074,20,98.1699981689,1.83000004292
420031803002,436,230,65.4700012207,34.5299987793
420031803003,91,645,12.3599996567,87.6399993896
420031807001,620,0,100.0,0.0
420031807002,689,0,100.0,0.0
420031807003,702,0,100.0,0.0
420031903001,1141,89,92.7600021362,7.23999977112
420031903002,712,0,100.0,0.0
420031911001,911,42,95.5899963379,4.40999984741
420031911002,1228,224,84.5699996948,15.4300003052
420031914001,1311,45,96.6800003052,3.31999993324
420031914002,1225,158,88.5800018311,11.4200000763
420031915001,133,543,19.6700000763,80.3300018311
420031915002,301,1066,22.0200004578,77.9800033569
420031916001,511,308,62.3899993896,37.6100006104
420031916002,714,70,91.0699996948,8.93000030518
420031916003,672,48,93.3300018311,6.67000007629
420031916004,554,323,63.1699981689,36.8300018311
420031916005,726,369,66.3000030518,33.7000007629
420031917001,816,1288,38.7799987793,61.2200012207
420031917002,33,540,5.76000022888,94.2399978638
420031917003,382,389,49.5499992371,50.4500007629
420031918001,598,69,89.6600036621,10.3400001526
420031918002,450,236,65.5999984741,34.4000015259
420031918003,631,76,89.25,10.75
420031918004,555,198,73.7099990845,26.2900009155
420031918005,84,605,12.1899995804,87.8099975586
420031918006,474,490,49.1699981689,50.8300018311
420031918007,815,41,95.2099990845,4.78999996185
420031919001,198,568,25.8500003815,74.1500015259
420031919002,600,227,72.5500030518,27.4500007629
420031919003,34,556,5.76000022888,94.2399978638
420031920001,312,421,42.5600013733,57.4399986267
420031920002,488,180,73.0500030518,26.9500007629
420031920003,600,123,82.9899978638,17.0100002289
420031920004,721,170,80.9199981689,19.0799999237
420031920005,469,195,70.6299972534,29.3700008392
420032022001,1056,279,79.0999984741,20.8999996185
420032022002,584,0,100.0,0.0
420032022003,625,24,96.3000030518,3.70000004768
420032023001,140,652,17.6800003052,82.3199996948
420032023002,468,574,44.9099998474,55.0900001526
420032023003,375,587,38.9799995422,61.0200004578
420032023004,251,1097,18.6200008392,81.3799972534
420032107001,1336,0,100.0,0.0
420032107002,793,1,99.8700027466,0.129999995232
420032206001,1362,0,100.0,0.0
420032206002,468,0,100.0,0.0
420032406001,980,546,64.2200012207,35.7799987793
420032406002,1152,36,96.9700012207,3.02999997139
420032412001,282,91,75.5999984741,24.3999996185
420032412002,477,33,93.5299987793,6.46999979019
420032503001,1090,0,100.0,0.0
420032507001,499,254,66.2699966431,33.7299995422
420032509001,651,49,93.0,7.0
420032509002,439,126,77.6999969482,22.2999992371
420032602001,268,416,39.1800003052,60.8199996948
420032602002,728,295,71.1600036621,28.8400001526
420032602003,332,239,58.1399993896,41.8600006104
420032607001,537,208,72.0800018311,27.9200000763
420032607002,995,2,99.8000030518,0.20000000298
420032609001,963,251,79.3199996948,20.6800003052
420032612001,16,1035,1.51999998093,98.4800033569
420032614001,401,261,60.5699996948,39.4300003052
420032614002,206,314,39.6199989319,60.3800010681
420032614003,557,63,89.8399963379,10.1599998474
420032614004,454,183,71.2699966431,28.7299995422
420032615001,751,51,93.6399993896,6.36000013351
420032615002,645,216,74.9100036621,25.0900001526
420032620001,806,404,66.6100006104,33.3899993896
420032620002,486,260,65.1500015259,34.8499984741
420032620003,557,127,81.4300003052,18.5699996948
420032701001,1503,18,98.8199996948,1.17999994755
420032701002,1000,128,88.6500015259,11.3500003815
420032703001,772,382,66.9000015259,33.0999984741
420032703002,81,712,10.2100000381,89.7900009155
420032704001,659,420,61.0800018311,38.9199981689
420032708001,469,309,60.2799987793,39.7200012207
420032708002,964,28,97.1800003052,2.81999993324
420032708003,828,53,93.9800033569,6.01999998093
420032715001,744,65,91.9700012207,8.02999973297
420032715002,1240,24,98.0999984741,1.89999997616
420032715003,945,149,86.3799972534,13.6199998856
420032814001,46,774,5.61000013351,94.3899993896
420032814002,203,1324,13.2899999619,86.7099990845
420032815001,241,262,47.9099998474,52.0900001526
420032815002,938,21,97.8099975586,2.19000005722
420032901001,122,537,18.5100002289,81.4899978638
420032901002,742,2,99.7300033569,0.270000010729
420032901003,620,97,86.4700012207,13.529999733
420032902001,524,378,58.0900001526,41.9099998474
420032902002,330,492,40.1500015259,59.8499984741
420032902003,392,254,60.6800003052,39.3199996948
420032902004,696,3,99.5699996948,0.430000007153
420032902005,756,119,86.4000015259,13.6000003815
420032904001,579,0,100.0,0.0
420032904002,139,1118,11.0600004196,88.9400024414
420032904003,193,513,27.3400001526,72.6600036621
420032904004,7,861,0.810000002384,99.1900024414
420032904005,0,639,0.0,100.0
420033001001,0,403,0.0,100.0
420033001002,0,504,0.0,100.0
420033001003,0,813,0.0,100.0
420033001004,0,720,0.0,100.0
420033001005,56,583,8.76000022888,91.2399978638
420033001006,80,588,11.9799995422,88.0199966431
420033102001,0,662,0.0,100.0
420033102002,291,364,44.4300003052,55.5699996948
420033102003,508,37,93.2099990845,6.78999996185
420033102004,151,569,20.9699993134,79.0299987793
420033102005,557,88,86.3600006104,13.6400003433
420033103001,187,800,18.9500007629,81.0500030518
420033204001,0,754,0.0,100.0
420033204002,603,61,90.8099975586,9.18999958038
420033204003,514,62,89.2399978638,10.7600002289
420033206001,594,564,51.2999992371,48.7000007629
420033206002,539,564,48.8699989319,51.1300010681
420033207001,734,403,64.5599975586,35.4399986267
420033207002,8,505,1.55999994278,98.4400024414
420034011001,108,1317,7.57999992371,92.4199981689
420034011002,190,1008,15.8599996567,84.1399993896
420034011003,367,464,44.1599998474,55.8400001526
420034011004,0,993,0.0,100.0
420034012001,480,77,86.1800003052,13.8199996948
420034012002,348,750,31.6900005341,68.3099975586
420034012003,458,408,52.8899993896,47.1100006104
420034012004,0,751,0.0,100.0
420034013001,150,1155,11.4899997711,88.5100021362
420034013002,0,603,0.0,100.0
420034013003,0,834,0.0,100.0
420034020001,0,625,0.0,100.0
420034020002,6,604,0.980000019073,99.0199966431
420034020003,69,1061,6.11000013351,93.8899993896
420034020004,822,73,91.8399963379,8.15999984741
420034035001,0,894,0.0,100.0
420034035002,0,759,0.0,100.0
420034035003,511,701,42.1599998474,57.8400001526
420034035004,916,4,99.5699996948,0.430000007153
420034035005,0,745,0.0,100.0
